Country,Year,FDI,Imports,Exports,Aid,ME,PI
Japan,1973,-42000000.0,9.470290038,9.41789277,,0.82,0
Kenya,1973,17260000.0,28.669014,27.39383468,,1.66,0
Cambodia,1973,190000.0,,,,,3687
Kuwait,1973,300000.0,22.168194,71.93441805,,2.52,0
Lebanon,1973,3950000.0,,,,3.82,5125
Liberia,1973,74840000.0,,,,0.97,0
Libya,1973,-201280000.0,,,,3.98,0
Sri Lanka,1973,500000.0,25.55966094,24.34796783,,0.87,0
Lesotho,1973,,67.7764566,14.26872771,,,0
Luxembourg,1973,,71.85855995,90.24139635,,0.71,0
Morocco,1973,5490000.0,22.10602278,20.836714,,3.06,250
Madagascar,1973,11000000.0,18.87873192,14.24785577,,1.52,687
Mexico,1973,457000000.0,9.464804631,8.412011577,,0.54,1562
Mali,1973,600000.0,22.84322565,10.18791935,,2.66,0
Malta,1973,5151890.396,75.91179317,57.89781773,9.89094659,,0
Mongolia,1973,,,,,,0
Mauritania,1973,9849999.9,32.00490034,37.12437735,,,0
Mauritius,1973,1020000.0,,,,0.19,0
Malawi,1973,7700000.0,,,,1.06,0
Malaysia,1973,172000000.0,35.84895583,41.48373658,,3.87,0
Niger,1973,1000000.0,23.73501857,15.51476946,,,0
Nigeria,1973,373000000.0,,,,5.48,0
Nicaragua,1973,13199999.9,37.80274468,28.21031937,,1.42,0
Netherlands,1973,1118995448.0,40.7456258,45.4143864,,2.7,250
Norway,1973,209000000.0,36.72726433,36.34320547,,3.13,0
Nepal,1973,-10000.0,10.37215326,6.610492262,,0.66,0
New Zealand,1973,207650000.0,23.8561026,24.00825997,,1.97,0
Oman,1973,1486666.6,55.19480519,67.82762692,,18.6,.
Pakistan,1973,-4000000.0,14.2209447,14.75878623,,6.21,0
Panama,1973,,60.20034869,53.57477458,,,0
Peru,1973,95629999.9,15.34728006,13.3257086,,3.93,562
Philippines,1973,59299999.9,,,,2.81,1562
Poland,1973,,,,,,0
Portugal,1973,95000000.0,26.29672254,20.94040018,,3.48,5625
Paraguay,1973,9199999.9,14.27011169,14.96368695,,3.42,0
Qatar,1973,1320000.0,,,,,0
Romania,1973,0.0,,,,,0
Rwanda,1973,2000000.0,13.4426235,11.59836154,,1.88,1875
Saudi Arabia,1973,-625912388.7,20.91592581,99.70359676,0.056216601,10.84,0
Sudan,1973,260000.0,17.02286514,14.84834344,,3.16,0
Senegal,1973,4900000.0,28.44068417,16.85762442,,,0
Singapore,1973,352816700.9,127.3923583,118.3366039,0.445910241,4.7,0
Sierra Leone,1973,6240000.0,23.40366358,24.63879778,,1.04,0
El Salvador,1973,6000000.0,32.98297188,29.96006434,,0.86,0
Somalia,1973,600000.0,26.87683285,13.90939198,,0.51,0
Sweden,1973,83963592.67,22.3251915,24.97334839,,3.28,0
Chad,1973,6099999.9,23.50025335,15.72877745,,,0
Togo,1973,3299999.9,32.99328459,33.11777633,,1.69,0
Thailand,1973,77833711.6,20.0463758,18.60288186,,2.88,2812
Trinidad and Tobago,1973,65599999.9,,,,0.68,1250
Tunisia,1973,58000000.0,26.41361939,26.05750022,,1.4,0
Tanzania,1973,6030000.0,,,,4.17,0
Uganda,1973,5200000.0,13.15399803,16.5514972,,3.5,500
Uruguay,1973,1389999.9,9.505591524,10.41789288,,3.76,3812
South Africa,1973,27379139.11,19.464541,21.68695577,,2.65,2125
Zambia,1973,32000000.0,,,,,0
Zimbabwe,1973,30489999.9,,,,2.63,1500
Afghanistan,1974,,14.84536122,14.02061893,,1.61,0
Albania,1974,,,,,,0
United Arab Emirates,1974,1629999.9,,,,,0
Argentina,1974,17920000.0,6.28900906,6.902570798,,1.66,13000
Australia,1974,1327729912.0,13.19373116,13.12912097,,2.26,562
Austria,1974,177050000.0,30.45336257,29.11436954,,1.28,0
Burundi,1974,220000.0,15.53393773,9.753397451,,2.23,0
Belgium,1974,1137000000.0,52.37771955,52.89335806,,2.76,250
Benin,1974,-2343120.329,29.49464837,14.31675614,17.34265079,1.44,0
Burkina Faso,1974,2669999.9,24.47291572,8.320763173,,1.15,2125
Bangladesh,1974,2200000.0,10.3485456,3.701075465,,0.6,312
Bulgaria,1974,,,,,,0
Bahrain,1974,110000.0,,,,,0
Bolivia,1974,44233000.0,26.79769666,35.29243801,,1.84,5000
Brazil,1974,1207900000.0,13.29465026,7.673127811,,1.94,500
Botswana,1974,70000.0,64.77518634,40.92329887,,,0
Central African Republic,1974,5799999.9,43.33611318,27.73682389,,,0
Canada,1974,3723538435.0,24.09085071,23.99365126,,1.78,0
Switzerland,1974,,,,,1.88,0
Chile,1974,2310000.0,19.30379884,19.53277872,,7.11,937
China,1974,,5.403684974,4.929801606,,,1000
Cameroon,1974,21600000.0,22.79992343,25.43808981,,1.69,0
Colombia,1974,40889760.0,15.63042831,14.54011365,3.702261071,1.58,0
Costa Rica,1974,46310009.9,48.12079608,33.14315574,,,0
Cuba,1974,,44.17194481,32.61374859,,,0
Cyprus,1974,32399999.9,,,,,2750
Denmark,1974,240000000.0,34.00487775,30.6563146,,2.23,250
Dominican Republic,1974,53600000.0,34.97255358,25.61902825,1.625791192,1.97,312
Algeria,1974,358000000.0,35.48977562,38.74904361,,1.96,0
Ecuador,1974,76799999.9,18.75231955,22.65205055,,2.02,0
Spain,1974,358000000.0,18.5108462,13.18462698,,2.21,3062
Ethiopia,1974,,,,,2.79,11312
Finland,1974,35000000.0,29.5340083,25.68090499,,1.27,0
Fiji,1974,14300000.0,,,,0.24,0
France,1974,1846644388.0,21.72538306,20.63018226,,3.09,2250
Gabon,1974,79599999.9,43.26069411,57.54640839,,0.68,0
United Kingdom,1974,4373743380.0,31.62838302,27.09211639,,5.07,3250
Ghana,1974,14270000.0,21.80257511,18.32618026,,1.58,0
Guinea,1974,1450000.0,,,,,0
Guinea-Bissau,1974,,39.24842729,5.018366375,,,.
Equatorial Guinea,1974,,,,,,0
Greece,1974,67000000.0,21.26118655,14.21569177,,4.82,1187
Guatemala,1974,47399999.9,25.66503323,22.40708595,,0.9,1062
Guyana,1974,1360000.0,66.41877029,68.3460773,,2.85,0
Honduras,1974,-1150000.0,44.07926535,32.14113098,4.120008452,1.6,0
Haiti,1974,7939993.416,,,9.283559748,,0
Hungary,1974,,,,,3.21,0
Indonesia,1974,182120000.0,21.42043332,28.99794546,,2.71,875
India,1974,56969999.9,6.02056925,4.831321003,,3.2,3500
Ireland,1974,51200000.0,52.56910757,38.10757592,,1.41,312
Iraq,1974,-8830000.0,31.57399512,61.03972478,,12.49,3375
Iceland,1974,13199999.9,40.63131218,30.94616929,,,750
Israel,1974,84000000.0,,,1.740526885,27.66,2875
Italy,1974,595350461.0,22.27887663,18.52401818,,2.07,5375
Jamaica,1974,30500000.0,45.90589107,35.67525009,,,0
Jordan,1974,6830353.699,,,51.12425629,17.51,1375
Japan,1974,202000000.0,13.57124812,12.76157959,,0.86,2562
Kenya,1974,23420000.0,40.89752051,33.67588385,,1.78,0
Cambodia,1974,1350000.0,,,,,4375
Kuwait,1974,120000.0,13.84211943,84.95935182,,3.28,0
Lebanon,1974,6339999.9,,,,,1375
Liberia,1974,57710000.0,,,,0.93,0
Libya,1974,6200000.0,,,,3.29,250
Sri Lanka,1974,1399999.9,33.89844769,26.43136595,,0.8,1062
Lesotho,1974,,77.07317073,13.65853659,,,0
Luxembourg,1974,,76.38579496,103.6802727,,0.69,0
Morocco,1974,-20399999.9,28.19260584,27.55664878,,3.15,0
Madagascar,1974,13709798.87,20.20715387,15.52616125,16.91963741,1.67,0
Mexico,1974,508755999.9,10.57244444,8.408666667,,0.57,1250
Mali,1974,-150000.0,40.87014834,12.72372531,,2.87,0
Malta,1974,10636044.11,101.0805316,74.64137007,5.357921579,,0
Mongolia,1974,,,,,,0
Mauritania,1974,3620000.0,40.94778151,38.2837833,,,0
Mauritius,1974,3609999.9,,,,0.14,0
Malawi,1974,22699999.9,,,,0.97,0
Malaysia,1974,570819254.6,48.07507218,48.31131333,1.305961632,4.18,1875
Niger,1974,6908881.395,28.97298047,12.27056305,63.06118829,,0
Nigeria,1974,257000000.0,,,,4.34,437
Nicaragua,1974,13800000.0,42.60728981,29.07488934,,1.45,1500
Netherlands,1974,1103114454.0,45.65466177,50.38162052,,2.65,0
Norway,1974,346000000.0,41.3954076,38.71351718,,3.04,0
Nepal,1974,250000.0,10.54809613,5.449719138,,0.61,125
New Zealand,1974,251610000.0,32.92779426,20.6231454,,2.07,0
Oman,1974,-61088593.11,47.75725594,73.7203518,17.57354635,15.53,3125
Pakistan,1974,4000000.0,17.25499989,13.57517423,,6.09,2500
Panama,1974,,82.55069808,67.58834544,,,0
Peru,1974,62371999.9,21.34912784,14.11430649,,3.93,2187
Philippines,1974,130740000.0,,,,3.56,3437
Poland,1974,,,,,,0
Portugal,1974,106000000.0,32.89059049,21.05078375,,4.34,6562
Paraguay,1974,23655999.9,17.15897796,15.50854973,,2.56,0
Qatar,1974,12970000.0,,,,,0
Romania,1974,0.0,,,,,0
Rwanda,1974,2200000.0,21.33891799,12.16875773,,1.47,0
Saudi Arabia,1974,-3732394367.0,13.20244725,62.93595819,0.04414571,,0
Sudan,1974,-1159999.9,20.72542619,12.70946681,,2.57,0
Senegal,1974,10261537.61,36.09967537,25.29461609,18.72825239,,0
Singapore,1974,340190955.7,164.4933522,149.4716087,0.230308224,4.29,0
Sierra Leone,1974,10500000.0,26.13347175,24.09686326,,1.21,0
El Salvador,1974,20100000.0,40.83127236,32.41770115,,0.8,1250
Somalia,1974,700000.0,39.98776794,17.46280177,,0.73,0
Sweden,1974,76586494.89,29.8715343,29.35033693,,3.22,0
Chad,1974,13800000.0,26.80373669,18.39108071,,,1250
Togo,1974,-44328180.69,28.88681407,66.00913266,27.15512519,1.49,0
Thailand,1974,188288646.4,23.95558687,21.58918291,,2.66,2500
Trinidad and Tobago,1974,120152999.9,,,,0.42,0
Tunisia,1974,28000000.0,32.20700349,35.3663264,,1.31,250
Tanzania,1974,-2060000.0,,,,5.36,0
Uganda,1974,1700000.0,15.04551012,14.71946746,,3.62,2125
Uruguay,1974,-80000.0,16.89074882,14.38206749,,4.53,500
South Africa,1974,696123636.3,24.6417523,24.15460655,,3.09,1250
Zambia,1974,38000000.0,,,,,0
Zimbabwe,1974,33350000.0,,,,2.98,1250
Afghanistan,1975,,14.27230078,12.67605689,,1.72,0
Angola,1975,50000.0,,,,,3125
Albania,1975,,,,,,0
United Arab Emirates,1975,15949999.9,,,,,0
Argentina,1975,55590000.0,5.978672496,5.824051799,,2.04,8937
Australia,1975,449028697.2,14.71195004,14.25864852,,2.27,500
Austria,1975,79109999.9,28.5044981,28.09463625,,1.45,0
Burundi,1975,320000.0,19.00177059,8.275645724,,2.06,0
Belgium,1975,954600000.0,45.60771211,45.91603657,,3.07,0
Benin,1975,1889760.249,33.41298203,14.52824593,20.16917902,1.49,1875
Burkina Faso,1975,300000.0,30.15111636,7.348254348,,2.81,0
Bangladesh,1975,1543333.3,8.100547239,2.895078894,,0.84,3937
Bulgaria,1975,,,,,,0
Bahrain,1975,1320000.0,,,1.688563681,1.53,0
Bolivia,1975,61596999.9,32.21663411,25.9383183,,2.37,250
Brazil,1975,1302000000.0,11.01632354,7.218006826,0.782182902,1.97,0
Botswana,1975,-38268702.25,63.79211879,43.59413668,20.35144314,,0
Central African Republic,1975,5599999.9,39.91997006,21.13034658,,,0
Canada,1975,3386183403.0,23.89587041,21.95978411,,1.86,250
Switzerland,1975,,,,,1.9,0
Chile,1975,50000000.0,26.57162139,24.11281531,4.824658547,6.74,312
China,1975,,4.849481823,4.704721171,,,750
Cameroon,1975,27100000.0,25.54303477,22.68495913,,1.73,0
Colombia,1975,37068850.0,14.01157222,15.81726354,2.938419744,1.74,2000
Costa Rica,1975,69022010.0,38.54777881,30.06200701,,,0
Cuba,1975,,44.19018036,32.63686369,,,0
Cyprus,1975,18100000.0,56.69259635,35.48638999,,,125
Denmark,1975,266942015.5,30.32997196,29.37023584,,2.4,0
Dominican Republic,1975,63900000.0,32.23510641,28.87882021,1.798580342,1.83,0
Algeria,1975,119000000.0,42.96559919,33.68893622,,2.13,250
Ecuador,1975,95299999.9,19.3341564,16.07089364,,2.37,1875
Spain,1975,682635310.6,16.7101532,12.3758068,,2.0,5500
Ethiopia,1975,,,,,4.49,3125
Finland,1975,68270104.62,28.1989647,22.13360979,,1.51,250
Fiji,1975,14100000.0,,,,0.3,0
France,1975,1563849883.0,17.85853584,18.8332005,,3.2,2812
Gabon,1975,166900000.0,47.90224913,49.52422145,,0.78,0
United Kingdom,1975,3318535790.0,27.08127368,25.65880996,,5.34,3437
Ghana,1975,70869955.0,18.43649442,19.36399773,13.46677438,1.71,0
Guinea,1975,870000.0,,,,,0
Guinea-Bissau,1975,-130000.0,25.94671356,5.184906736,,,0
Equatorial Guinea,1975,,,,,,0
Greece,1975,24000000.0,21.18132017,14.14164293,,5.85,2750
Guatemala,1975,80000000.0,23.53328396,21.72303135,,1.23,0
Guyana,1975,800000.0,74.90526316,74.88,,6.96,0
Honduras,1975,7000000.0,39.6797153,30.69395018,7.82898181,1.9,3250
Haiti,1975,2640000.001,,,24.90111424,,0
Hungary,1975,,,,,3.34,0
Indonesia,1975,1292060000.0,21.97350208,22.54775559,,3.49,0
India,1975,-10326246.71,6.646916056,5.647062158,25.10216705,3.53,3125
Ireland,1975,158169999.9,44.82472051,38.22197598,,1.63,0
Iraq,1975,-44920000.0,42.57353496,52.32871197,,11.67,3125
Iceland,1975,42399999.9,41.15429989,32.79318451,,,0
Israel,1975,45000000.0,,,6.202467971,30.46,0
Italy,1975,644515567.9,18.66819227,18.73225533,,1.98,4500
Jamaica,1975,61399999.9,45.61221526,35.26380692,,,0
Jordan,1975,25641693.89,,,51.68808804,15.25,0
Japan,1975,226000000.0,12.06741402,12.00802483,,0.91,562
Kenya,1975,17158747.47,34.51158185,29.82368597,9.751860725,1.88,1312
Cambodia,1975,270000.0,,,,,3375
Kuwait,1975,250000.0,26.01089687,80.47031889,0.010032565,,0
Lebanon,1975,5040000.0,,,,,2750
Liberia,1975,180410000.0,,,,0.95,0
Libya,1975,-576299999.9,,,,2.25,2125
Sri Lanka,1975,142711.034,34.95879896,27.48993491,17.05720362,0.8,312
Lesotho,1975,0.0,103.9783002,14.46654611,16.27602823,,0
Luxembourg,1975,,82.66937497,93.41614859,,0.87,0
Morocco,1975,5019999.9,33.34596688,22.47287908,8.839202221,4.6,0
Madagascar,1975,4572770.629,20.89013523,15.85951839,16.37111705,1.64,0
Mexico,1975,458411000.0,9.620090909,6.894454545,,0.57,1687
Mali,1975,2613001.826,29.26440275,9.661185014,55.29998839,3.17,0
Malta,1975,15853077.53,86.33232589,73.69200872,7.88068151,,0
Mongolia,1975,,,,,,0
Mozambique,1975,6669999.9,,,,,3375
Mauritania,1975,-122702517.7,41.71396738,30.47136939,26.59800837,,0
Mauritius,1975,3899999.9,,,,0.19,0
Malawi,1975,22109999.9,,,,1.53,0
Malaysia,1975,350491202.9,45.09672219,45.548988,2.023037359,4.72,1562
Niger,1975,22555805.05,30.99365419,19.24652938,61.32735615,0.87,0
Nigeria,1975,470120000.0,,,,8.12,2625
Nicaragua,1975,10900000.0,36.93972944,28.04275752,,1.75,1250
Netherlands,1975,1232377357.0,42.95813184,47.48939934,,2.84,0
Norway,1975,219677309.8,41.02613341,35.2425676,,3.21,0
Nepal,1975,,13.36672577,8.901092981,,0.68,0
New Zealand,1975,138169999.9,30.03161222,23.1032666,,2.08,0
Oman,1975,106253619.3,50.69045163,67.55039596,10.1939561,24.96,3125
Pakistan,1975,25000000.0,20.70100645,11.68703849,,6.32,625
Panama,1975,,80.83483701,68.99266502,,,125
Peru,1975,81105000.0,21.3598583,10.56262159,,5.22,3000
Philippines,1975,114000000.0,,,,,3812
Papua New Guinea,1975,-2230000.0,46.16423815,39.97878993,,0.6,.
Poland,1975,,,,,,0
Portugal,1975,115351290.5,25.55018202,15.98288485,,3.1,6312
Paraguay,1975,24400000.0,17.854011,13.20895405,5.15625,3.13,0
Qatar,1975,9119999.9,,,,,0
Romania,1975,0.0,,,,,0
Rwanda,1975,3000000.0,17.69944673,9.171881595,,1.63,0
Saudi Arabia,1975,1864901265.0,21.73273342,73.33378007,0.023914646,,312
Sudan,1975,1300000.0,22.70453733,12.09360486,,2.25,1875
Senegal,1975,22537140.75,30.83120813,21.54882855,16.10061175,,0
Singapore,1975,291823050.8,146.4486805,137.1215046,0.132740203,4.65,0
Sierra Leone,1975,10100000.0,34.47127063,25.10850227,,1.03,0
El Salvador,1975,13100000.0,38.21624747,33.04672563,,0.83,312
Somalia,1975,11789999.9,26.88163455,12.46311578,,0.52,0
Sweden,1975,80215154.58,25.68074737,25.6499675,,3.08,0
Chad,1975,20300000.0,25.85061153,14.40266717,,,1875
Togo,1975,5212005.429,53.69498836,43.40771853,14.28296006,1.86,0
Thailand,1975,85626229.2,22.97494341,18.36300781,2.298880238,2.8,2625
Trinidad and Tobago,1975,92957979.33,,,0.446834064,0.44,0
Tunisia,1975,45000000.0,32.91604456,31.0439876,,1.74,0
Tanzania,1975,-870000.0,,,,5.36,0
Uganda,1975,2100000.0,10.91542663,8.650404973,,2.82,0
Uruguay,1975,22640000.0,20.27809379,16.78043231,,4.29,0
South Africa,1975,187962807.7,25.9691144,23.8449417,,3.87,2062
Zambia,1975,38000000.0,,,,,0
Zimbabwe,1975,28870000.0,24.4336291,22.76497931,,3.4,2437
Afghanistan,1976,40000.0,14.86956541,13.21739125,,2.05,0
Angola,1976,-1169999.9,,,,,3375
Albania,1976,,,,,,250
United Arab Emirates,1976,49430000.0,,,,,0
Argentina,1976,244680000.0,5.921496328,9.175388296,0.347215381,3.78,7937
Australia,1976,1047313647.0,13.36204828,13.50122378,,2.22,250
Austria,1976,91230000.0,31.16375564,28.75252685,,1.37,0
Burundi,1976,80000.0,16.65287675,13.72648388,,2.22,1875
Belgium,1976,871789999.9,48.26137557,48.55438286,,3.09,0
Benin,1976,2452390.826,31.0285114,12.99124631,18.61013717,1.28,0
Burkina Faso,1976,2049999.9,27.00824323,8.205252445,,3.12,0
Bangladesh,1976,5419999.9,17.63619316,4.746081768,49.77802922,1.52,0
Bulgaria,1976,,,,,,0
Bahrain,1976,3210000.0,,,7.910044279,1.75,0
Bolivia,1976,-8100000.0,29.88640313,27.67666051,7.794514491,2.37,1250
Brazil,1976,1555000000.0,9.402384911,7.013163072,0.518636841,2.0,0
Botswana,1976,11270002.83,66.32148377,50.38639876,15.25925577,,0
Central African Republic,1976,3700000.0,29.32661081,22.18686626,,,1875
Canada,1976,2450721216.0,22.58259182,21.68275246,,1.77,750
Switzerland,1976,,,,,2.16,0
Chile,1976,-1000000.0,20.30689696,23.94163917,0.448172046,6.09,562
China,1976,,4.326440474,4.510473131,,,6312
Cameroon,1976,16399999.9,27.36461919,22.64259686,,1.76,0
Colombia,1976,25000000.0,13.89501569,17.04623593,2.478835151,1.49,2562
Costa Rica,1976,61952010.0,34.91071601,28.90895548,,,0
Cuba,1976,,44.19144587,32.62777254,,,0
Cyprus,1976,32399852.81,62.62354908,49.74543472,10.52293511,,2187
Denmark,1976,-190295662.8,32.76955831,28.23785325,,2.2,0
Dominican Republic,1976,60000000.0,29.17573605,22.29488336,2.191138046,1.93,0
Algeria,1976,187000000.0,37.11867296,33.05458393,,2.7,0
Ecuador,1976,-19900000.0,17.97826833,16.03563594,3.091688664,2.2,2375
Spain,1976,477622019.9,17.51063062,12.56686981,,2.32,5125
Ethiopia,1976,,,,,4.13,4875
Finland,1976,57984170.91,25.72105057,23.5470324,,1.34,0
Fiji,1976,7330000.0,,,,0.4,0
France,1976,977422843.6,20.26469855,19.33517233,,3.16,3312
Gabon,1976,38700000.0,46.09929078,45.58475873,,0.67,0
United Kingdom,1976,3006207709.0,29.10542835,28.29536423,,5.18,3562
Ghana,1976,-18260970.0,16.04351823,15.70640515,6.185972644,1.57,0
Guinea,1976,-700000.0,,,,,1875
Guinea-Bissau,1976,,27.93533926,5.272578805,,,0
Equatorial Guinea,1976,,,,,,0
Greece,1976,305000000.0,20.83001955,14.04866594,,5.83,1000
Guatemala,1976,12500000.0,27.58344088,21.57239953,,1.27,1250
Guyana,1976,5009999.9,91.004313,66.07692985,,8.35,0
Honduras,1976,5250000.0,38.1676572,33.71661846,5.134600564,1.76,0
Haiti,1976,7780000.002,,,24.89297743,,312
Hungary,1976,,,,,3.01,0
Indonesia,1976,747590000.0,20.83249821,22.17409014,,3.42,0
India,1976,-7706430.543,6.114690211,6.686512862,28.51257671,3.48,1250
Ireland,1976,172680000.0,49.82838385,41.4100608,,1.62,0
Iraq,1976,1350000.0,35.91264543,57.36982644,,11.16,0
Iceland,1976,4500000.0,33.75933439,34.02527269,,,0
Israel,1976,47000000.0,,,8.616930443,29.25,3875
Italy,1976,109235548.0,21.14744828,20.04470366,,1.83,2437
Jamaica,1976,-600000.0,37.89126383,29.04613667,1.572638669,0.93,1687
Jordan,1976,-7530498.542,79.77785614,32.38716502,43.77567291,17.24,0
Japan,1976,113000000.0,12.06752195,12.7207365,,0.89,2812
Kenya,1976,46371850.86,31.75563773,32.45047124,12.06229642,2.48,437
Cambodia,1976,,,,,,1250
Kuwait,1976,-510000.0,32.55462666,77.93316926,0.004319876,,250
Lebanon,1976,7490000.0,,,,12.12,4562
Liberia,1976,83170000.0,,,,1.07,0
Libya,1976,262850000.0,,,,1.97,0
Sri Lanka,1976,1000.0,31.38098864,29.04678343,22.67195191,0.66,1250
Lesotho,1976,0.0,138.6292835,17.91277259,13.29758736,1.55,0
Luxembourg,1976,,77.17856825,89.02212569,,0.89,0
Morocco,1976,38014962.74,36.72938899,17.91505336,6.983107761,6.22,1250
Madagascar,1976,1381044.467,17.5247008,15.16374184,14.82110663,1.88,0
Mexico,1976,731451000.0,9.867242888,8.489832239,,0.6,312
Mali,1976,2573754.877,21.03115118,11.00570802,42.13584125,2.91,1875
Malta,1976,14113136.42,86.49140424,75.41418013,6.337324635,,0
Mongolia,1976,,,,,,0
Mozambique,1976,-12640000.0,,,,,3125
Mauritania,1976,1554786.8,53.79846632,30.0785687,49.58411408,,1250
Mauritius,1976,3142995.05,57.65306122,50.76530612,4.448255486,0.19,0
Malawi,1976,9699999.9,,,,1.37,250
Malaysia,1976,381259652.1,41.37439915,51.8212569,1.191113139,3.98,1500
Niger,1976,9889077.682,34.33782083,22.26365398,40.0491526,0.82,1875
Nigeria,1976,339000000.0,,,,5.79,2187
Nicaragua,1976,12900000.0,31.84204214,32.99472073,,2.07,0
Netherlands,1976,581098299.1,44.22018856,48.55625027,,2.69,250
Norway,1976,371391272.3,43.56130717,35.20362637,,3.12,0
Nepal,1976,-40000.0,14.17730202,10.77383012,21.66532255,0.86,0
New Zealand,1976,277639999.9,29.26095675,26.68289888,,1.94,250
Oman,1976,81354951.02,45.96857401,62.33178785,12.19850325,23.01,3125
Pakistan,1976,8220530.168,18.29799638,10.64787825,35.85322758,5.89,0
Panama,1976,,74.22053038,62.84887868,,,250
Peru,1976,71888999.9,19.68979341,11.72908338,,5.68,2312
Philippines,1976,153500000.0,,,,3.93,3125
Papua New Guinea,1976,20830132.15,40.78091447,41.77373117,34.50407412,1.63,.
Poland,1976,6000000.0,,,,,562
Portugal,1976,62999101.2,24.05518769,13.65929259,,2.36,3625
Paraguay,1976,22000000.0,18.03857635,14.66022638,6.711043965,2.99,0
Qatar,1976,200000.0,,,,,0
Romania,1976,0.0,,,,,0
Rwanda,1976,5860000.0,19.3955073,14.57895341,,1.61,0
Saudi Arabia,1976,-396600566.7,24.25147642,59.7294743,0.008240524,,0
Sudan,1976,5839999.9,19.14222944,11.22361257,,2.67,1875
Senegal,1976,35865169.59,32.64006161,21.47575059,13.07565317,,0
Singapore,1976,230690621.7,156.4192116,149.4807844,0.11115002,5.04,0
Sierra Leone,1976,8500000.0,28.92645686,21.54001435,,1.09,0
El Salvador,1976,12960000.0,36.81687611,35.54383341,1.896734576,0.88,0
Somalia,1976,2200000.0,23.84390724,10.0338401,,0.52,0
Sweden,1976,4864300.268,26.56852402,25.19003847,,3.0,0
Seychelles,1976,6335185.215,79.49233441,17.59980306,15.79394055,,0
Chad,1976,26800000.0,26.38422549,16.08392819,,,312
Togo,1976,5624596.024,46.52715097,47.30472125,17.05053429,2.5,0
Thailand,1976,79117247.89,22.70505012,20.23520889,4.084840723,3.13,4500
Trinidad and Tobago,1976,132154443.3,,,0.326887854,0.5,0
Tunisia,1976,109614600.0,34.01448526,29.08432488,11.3365196,1.86,0
Tanzania,1976,6559999.9,,,36.85864061,4.69,0
Uganda,1976,2049999.9,9.606505128,11.38806031,,3.19,312
Uruguay,1976,3149999.9,20.07877267,19.55940153,,3.48,500
South Africa,1976,18400004.6,24.96716318,23.91359025,,4.73,4687
Zambia,1976,31000000.0,,,,,0
Zimbabwe,1976,29090000.0,19.59709817,21.96024798,,4.63,3437
Afghanistan,1977,-240000.0,14.8231755,11.66290433,,2.01,312
Angola,1977,,,,,,5500
Albania,1977,,,,,,0
United Arab Emirates,1977,112239999.9,,,,,0
Argentina,1977,144000000.0,7.326394155,9.615892413,0.290448332,4.01,812
Australia,1977,1141019599.0,14.63052088,14.00060289,,2.25,0
Austria,1977,96810000.0,32.32363958,27.95395681,,1.35,0
Burundi,1977,-250000.0,17.29141892,17.59561023,,2.53,0
Belgium,1977,1274930000.0,48.17027252,47.50725022,,3.14,1250
Benin,1977,3126021.572,34.7807829,16.17890261,14.77631448,1.68,0
Burkina Faso,1977,4969999.9,30.44326689,7.960266865,,3.04,0
Bangladesh,1977,6980000.0,12.38144623,7.040751965,61.17424806,1.57,3750
Bulgaria,1977,,,,,,0
Bahrain,1977,650000.0,,,1.916317268,2.08,0
Bolivia,1977,-1200000.0,29.64494201,26.77412861,8.17778289,2.25,0
Brazil,1977,1833000000.0,7.90998825,7.245261155,0.362796679,1.69,250
Botswana,1977,12233365.11,69.30966469,50.90072321,12.74674598,1.36,0
Central African Republic,1977,-2845168.071,34.32490613,25.2043977,25.29138417,,0
Canada,1977,3371826624.0,23.0563312,22.70204764,,1.81,0
Switzerland,1977,,,,,2.02,0
Chile,1977,21000000.0,22.02142537,19.72748766,0.328029384,6.92,0
China,1977,,4.086153846,4.298461538,,,0
Cameroon,1977,8710528.859,27.80575609,25.05995286,16.25933327,1.72,0
Colombia,1977,65000000.0,13.19876709,16.86565768,1.26866389,1.44,1812
Costa Rica,1977,62500000.0,36.33477341,30.86891026,1.382899609,,0
Cuba,1977,,44.18470397,32.62902344,,,0
Cyprus,1977,41409229.36,67.76175102,47.81375755,13.04698248,,3125
Djibouti,1977,1980000.0,,,,,.
Denmark,1977,75799728.5,31.92494475,28.35761407,,2.22,0
Dominican Republic,1977,71500000.0,28.27745024,21.0745415,1.244514344,1.89,0
Algeria,1977,178452646.8,41.7403173,30.58656693,1.436532854,2.24,0
Ecuador,1977,34500000.0,18.13933341,16.30287683,1.614817,3.08,250
Spain,1977,607674770.0,15.91174418,13.25184065,,2.31,6187
Ethiopia,1977,5845410.631,,,19.9963314,3.97,12125
Finland,1977,48060229.2,25.53868432,26.85129694,,1.41,0
Fiji,1977,17100000.0,,,,0.51,0
France,1977,1896159372.0,20.40240281,20.23356703,,3.23,750
Gabon,1977,34899999.9,51.2605042,51.59374094,,1.03,0
United Kingdom,1977,4426545754.0,28.9393075,29.97134588,,4.92,3812
Ghana,1977,19217479.38,11.54707516,10.49896981,7.78251681,1.25,0
Guinea,1977,-1830000.0,,,,,0
Guinea-Bissau,1977,40000.0,32.60217722,9.304330132,,,0
Equatorial Guinea,1977,,,,,,0
Greece,1977,387000000.0,20.68136482,13.98022989,,5.92,0
Guatemala,1977,97500000.0,26.25672927,24.45579694,2.814686591,1.37,2000
